Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,137337,-,-,-,37.77,-122.42,-8,32,-8,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.0.0
Year,Month,Day,Hour,Minute,GHI,DHI,DNI,Temperature,Wind Speed,Surface Albedo
2019,1,1,0,30,0,0,0,4.6000000000000005,3.9000000000000004,0.12
2019,1,1,1,30,0,0,0,4.5,3.9000000000000004,0.12
2019,1,1,2,30,0,0,0,4.5,3.9000000000000004,0.12
2019,1,1,3,30,0,0,0,4.3,3.8000000000000003,0.12
2019,1,1,4,30,0,0,0,4,3.6,0.12
2019,1,1,5,30,0,0,0,3.7,3.4000000000000004,0.12
2019,1,1,6,30,0,0,0,3.5,3.2,0.12
2019,1,1,7,30,8,7,76,4.3,3.2,0.12
2019,1,1,8,30,148,44,609,6.1000000000000005,3.4000000000000004,0.12
2019,1,1,9,30,310,55,818,7.9,3.2,0.12
2019,1,1,10,30,437,58,911,9.600000000000001,2.6,0.12
2019,1,1,11,30,506,70,915,10.9,2.1,0.12
2019,1,1,12,30,520,62,941,11.8,2.1,0.12
2019,1,1,13,30,472,61,915,12.200000000000001,2.1,0.12
2019,1,1,14,30,362,88,752,12.100000000000001,1.8,0.12
2019,1,1,15,30,215,58,661,11.200000000000001,1.2000000000000002,0.12
2019,1,1,16,30,50,32,222,10.200000000000001,0.8,0.12
2019,1,1,17,30,0,0,0,9.700000000000001,0.8,0.12
2019,1,1,18,30,0,0,0,9.3,1,0.12
2019,1,1,19,30,0,0,0,8.9,1.2000000000000002,0.12
2019,1,1,20,30,0,0,0,8.6,1.4000000000000001,0.12
2019,1,1,21,30,0,0,0,8.3,1.6,0.12
2019,1,1,22,30,0,0,0,8,1.7000000000000002,0.12
2019,1,1,23,30,0,0,0,7.7,1.8,0.12
2019,1,2,0,30,0,0,0,7.6000000000000005,1.9000000000000001,0.12
2019,1,2,1,30,0,0,0,7.5,1.7000000000000002,0.12
2019,1,2,2,30,0,0,0,7.2,1.5,0.12
2019,1,2,3,30,0,0,0,6.800000000000001,1.4000000000000001,0.12
2019,1,2,4,30,0,0,0,6.2,1.4000000000000001,0.12
2019,1,2,5,30,0,0,0,5.5,1.5,0.12
2019,1,2,6,30,0,0,0,4.800000000000001,1.6,0.12
2019,1,2,7,30,10,9,111,5.2,1.9000000000000001,0.12
2019,1,2,8,30,145,40,616,6.7,2,0.12
2019,1,2,9,30,301,52,796,8.4,1.9000000000000001,0.12
2019,1,2,10,30,424,58,877,10.3,1.7000000000000002,0.12
2019,1,2,11,30,496,61,911,11.8,1.6,0.12
2019,1,2,12,30,510,64,913,12.8,1.6,0.12
2019,1,2,13,30,463,63,888,13.3,1.6,0.12
2019,1,2,14,30,362,58,831,13.100000000000001,1.4000000000000001,0.12
2019,1,2,15,30,218,48,708,12.200000000000001,1.1,0.12
2019,1,2,16,30,61,27,403,11,1.1,0.12
2019,1,2,17,30,0,0,0,10.4,1.2000000000000002,0.12
2019,1,2,18,30,0,0,0,9.9,1.3,0.12
2019,1,2,19,30,0,0,0,9.4,1.4000000000000001,0.12
2019,1,2,20,30,0,0,0,8.9,1.5,0.12
2019,1,2,21,30,0,0,0,8.4,1.6,0.12
2019,1,2,22,30,0,0,0,7.9,1.7000000000000002,0.12
2019,1,2,23,30,0,0,0,7.4,1.9000000000000001,0.12
2019,1,3,0,30,0,0,0,6.6000000000000005,2.1,0.12
2019,1,3,1,30,0,0,0,5.9,2.2,0.12
2019,1,3,2,30,0,0,0,5.5,2.3000000000000003,0.12
2019,1,3,3,30,0,0,0,5.300000000000001,2.3000000000000003,0.12
2019,1,3,4,30,0,0,0,5,2.4000000000000004,0.12
2019,1,3,5,30,0,0,0,4.6000000000000005,2.3000000000000003,0.12
2019,1,3,6,30,0,0,0,4.3,2.2,0.12
2019,1,3,7,30,10,9,94,5.1000000000000005,2.2,0.12
2019,1,3,8,30,135,54,476,6.9,2.4000000000000004,0.12
2019,1,3,9,30,300,57,776,8.8,2.5,0.12
2019,1,3,10,30,425,65,861,10.700000000000001,2.5,0.12
2019,1,3,11,30,497,70,892,11.8,2.4000000000000004,0.12
2019,1,3,12,30,393,203,387,12.100000000000001,2.2,0.12
2019,1,3,13,30,348,187,356,12,2,0.12
2019,1,3,14,30,301,141,434,11.9,2,0.12
2019,1,3,15,30,203,82,500,10.9,1.8,0.12
2019,1,3,16,30,37,37,5,9.3,1.7000000000000002,0.11
2019,1,3,17,30,0,0,0,8.4,1.7000000000000002,0.11
2019,1,3,18,30,0,0,0,7.9,1.7000000000000002,0.11
2019,1,3,19,30,0,0,0,7.7,1.6,0.11
